,,,,,,,,,
,,,,,,,,,
,Upset,,,,,,,,
,Over,,,,,,,,
,Under,,,GAMES ( *Conf. ),SPREAD,OVER / UNDER,SCORE,LOCATION,DATE / TIME (ET)
,No Odds,,,,,,,,
,,,,Wake Forest vs. NC State *,NCST -4.5,52.5,34 - 30,"Raleigh, NC",5 Oct / 12:00 pm
,,,,SMU vs. Louisville *,LOU -6.5,55.5,34 - 27,"Louisville, KY",5 Oct / 12:00 pm
,,,,Pitt vs. North Carolina *,PITT -2.5,61.5,34 - 24,"Chapel Hill, NC",5 Oct / 12:00 pm
,,,,Virginia Tech vs. Stanford *,VT -9.5,49.5,31 - 7,"Stanford, CA",5 Oct / 3:30 pm
,,,,Clemson vs. Florida State *,CLEM -16.5,46.5,29 - 13,"Tallahassee, FL",5 Oct / 7:00 pm
,,,,Duke vs. Georgia Tech *,GT -10.5,53.5,14 - 24,"Atlanta, GA",5 Oct / 8:00 pm
,,,,Miami vs. Cal *,MIA -8.5,53.5,39 - 38,"Berkeley, CA",5 Oct / 10:30 pm
,,,,,,,,,
,,,,,,,,,
,,,WEEK 7,Clemson vs. Wake Forest *,CLEM -20.5,60.5,49 - 14,"Charlottesville, VA",12 Oct / 12:00 pm
,,,,Georgia Tech vs. North Carolina *,GT -6,58.5,41 - 34,"Chapel Hill, NC",12 Oct / 12:00 pm
,,,,Stanford vs. Notre Dame,ND -23.5,45.5,7 - 49,"Raleigh, NC",12 Oct / 3:30 pm
,,,,Louisville vs. Virginia 🧡💙 *,LOU -7.5,54.5,24 - 20,"Winston-Salem, NC",12 Oct / 3:30 pm
,,,,Cal vs. Pitt *,PITT -3.5,59.5,15 - 17,"Pittsburgh, PA",12 Oct / 3:30 pm
,,,,Syracuse vs. NC State *,SYR -4.5,54.5,24 - 17,"South Bend, IN",12 Oct / 8:00 pm
,,,,,,,,,
,,,,,,,,,
,,,WEEK 8,Boston College vs. Virginia Tech *,VT -8.5,46.5,21 - 42,"Blacksburg, VA",17 Oct / 7:30 pm
,,,,,,,,,
,,,,Florida State vs. Duke *,DUKE -2.5,41.5,16 - 23,"Durham, NC",18 Oct / 7:00 pm
,,,,,,,,,
,,,,Miami vs. Louisville *,MIA -4.5,60.5,52 - 45,"Louisville, KY",19 Oct / 12:00 pm
,,,,Virginia 🧡💙 vs. Clemson *,CLEM -20.5,56.5,31 - 48,"Clemson, SC",19 Oct / 12:00 pm
,,,,Wake Forest vs. UConn,WAKE -2.5,56.5,23 - 20,"Storrs, CT",19 Oct / 12:00 pm
,,,,Notre Dame vs. Georgia Tech,ND -14.5,49.5,31 - 13,"Atlanta, GA",19 Oct / 3:30 pm
,,,,NC State vs. Cal *,CAL -9.5,45.5,24 - 23,"Berkeley, CA",19 Oct / 3:30 pm
,,,,SMU vs. Stanford *,SMU -16.5,52.5,40 - 10,"Stanford, CA",19 Oct / 8:00 pm
,,,,,,,,,
,,,,,,,,,
,,,WEEK 9,Syracuse vs. Pitt *,PITT -5.5,62.5,13 - 41,"Pittsburgh, PA",24 Oct / 7:30 pm
,,,,,,,,,
,,,,Louisville vs. Boston College *,LOU -7.5,53.5,31 - 27,"Chestnut Hill, MA",25 Oct / 7:30 pm
,,,,,,,,,
